content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,rank
content_bc2c0c7243df,client_d4735e3a26,,,,,feedly article,,873.0,6239.0,,gpt-4o-mini,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,294,181-365,5,20,0-30,<1000,<8000,100.0,1.0,0.0,0.0,0.0,low,top_3,flat,,6.0
content_6016b918a48f,client_d4735e3a26,,,,,feedly article,,766.0,5837.0,,gpt-4o-mini,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,312,181-365,5,20,0-30,<1000,<8000,100.0,30.0,0.0,0.0,0.0,low,page_3_5,flat,,6.0
content_a84e013a5f94,client_d4735e3a26,,,,,feedly article,,936.0,6558.0,,gpt-4o-mini,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,299,181-365,5,20,0-30,<1000,<8000,100.0,9.0,0.0,0.0,0.0,low,page_1,flat,,6.0
content_98458bafe297,client_d4735e3a26,,,,,feedly article,,1316.0,9110.0,,gpt-4o-mini,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,314,181-365,5,20,0-30,1000-2000,8000-15000,100.0,1.0,0.0,0.0,0.0,low,top_3,flat,,6.0
content_cfa4d9f1bf0a,client_d4735e3a26,,,,,feedly article,,2972.0,21585.0,openai,gpt-5-mini,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,112,91-180,4,8,0-30,2000-3500,15000-25000,100.0,25.0,0.0,0.0,0.0,low,page_3_5,new,,6.0
content_a8cee66e4788,client_d4735e3a26,0.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-4o-mini,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,489,365+,6,20,0-30,,,100.0,2.0,0.0,0.0,0.0,low,top_3,down,-100.0,6.0
content_b1e4f7904d85,client_d4735e3a26,,,,,feedly article,,791.0,5588.0,,gpt-4o-mini,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,299,181-365,5,20,0-30,<1000,<8000,100.0,0.0,0.0,0.0,0.0,low,top_3,flat,,6.0
content_006b16e7a2e7,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,2522.0,17424.0,google,gemini-2.5-flash,1,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0,140,91-180,4,8,0-30,2000-3500,15000-25000,100.0,1.0,100.0,50.0,0.0,low,top_3,flat,,6.0
content_4272d3a330a3,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,3005.0,20441.0,,gemini-2.5-flash,1,1,4,1,1,1,0,1,1,1,0,0,0,0,0,0,144,91-180,4,8,0-30,2000-3500,15000-25000,100.0,8.0,100.0,25.0,0.0,low,page_1,flat,,6.0
content_bf398aa7400e,client_d4735e3a26,,,,,feedly article,,816.0,6204.0,,gpt-4o-mini,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,294,181-365,5,20,0-30,<1000,<8000,100.0,2.0,0.0,0.0,0.0,low,top_3,flat,,6.0
content_3f3576c295f5,client_4ec9599fc2,0.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-5-mini,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,374,365+,6,373,181+,,,100.0,1.0,0.0,0.0,0.0,low,top_3,flat,,6.0
content_e454093819d5,client_d4735e3a26,,,,,keyword article,,979.0,7421.0,,gpt-4o-mini,4,3,1,1,1,0,0,0,2,1,0,0,0,1,1,1,301,181-365,5,211,181+,<1000,<8000,75.0,2.5,0.0,0.0,0.0,low,top_3,down,-100.0,12.0
